motivo viaje,hora inicio,latitud origen,latitud destino,longitud origen,longitud destino,duracion viaje,dia habil,troncal origen,troncal destino
Otra cosa,06:51:00,4.63887,4.60487,-74.14301,-74.08457,01:15:00,1,F,J
Volver a casa,10:51:00,4.60487,4.63887,-74.08457,-74.14301,01:15:00,1,J,F
Trabajar,09:13:00,4.63874,4.67136,-74.14308,-74.10677,01:00:00,1,F,D
Volver a casa,19:43:00,4.67136,4.63874,-74.10677,-74.14308,01:00:00,1,D,F
Estudiar,05:19:00,4.63874,4.66838,-74.14308,-74.10385,01:00:00,1,F,D
Volver a casa,14:14:00,4.66838,4.63874,-74.10385,-74.14308,01:00:00,1,D,F
Estudiar,06:45:00,4.63874,4.65925,-74.14308,-74.05356,00:38:00,1,F,A
Volver a casa,15:18:00,4.65925,4.63874,-74.05356,-74.14308,00:38:00,1,A,F
Tramites,11:00:00,4.72994,4.59682,-74.09966999999999,-74.0749,01:50:00,1,C,J
Volver a casa,14:00:00,4.59682,4.7302800000000005,-74.0749,-74.09953,01:45:00,1,J,C
Trabajar,05:14:00,4.7319,4.63859,-74.09853000000001,-74.09375,01:00:00,1,C,K
Volver a casa,18:18:00,4.63859,4.7320199999999994,-74.09375,-74.09883,01:01:00,1,K,C
Tramites,11:00:00,4.731669999999999,4.73785,-74.09902,-74.08487,01:30:00,1,C,C
Volver a casa,15:44:00,4.73785,4.731669999999999,-74.08487,-74.09902,00:26:00,1,C,C
Trabajar,06:02:00,4.731669999999999,4.69525,-74.09902,-74.05058000000001,01:28:00,1,C,B
Volver a casa,19:01:00,4.69525,4.731669999999999,-74.05058000000001,-74.09902,01:59:00,1,B,C
Volver a casa,16:43:00,4.6512,4.7314099999999994,-74.07266,-74.09913,02:19:00,1,E,C
Recibir atencion en salud,07:30:00,4.6269599999999995,4.66516,-74.19736999999999,-74.0781,01:30:00,1,G,D
Volver a casa,10:46:00,4.66516,4.6269599999999995,-74.0781,-74.19736999999999,01:42:00,1,D,G
Trabajar,09:15:00,4.62807,4.67438,-74.19605,-74.08779,01:39:00,1,G,D
Volver a casa,20:52:35,4.67438,4.62741,-74.08779,-74.19633,01:05:23,1,D,G
Trabajar,05:29:00,4.62613,4.614319999999999,-74.19659,-74.08351,00:51:00,1,G,J
Volver a casa,13:51:20,4.614319999999999,4.62685,-74.08351,-74.19728,00:39:51,1,J,G
Volver a casa,18:31:00,4.67847,4.63436,-74.04836999999999,-74.17699,01:45:00,1,B,G
Trabajar,14:00:00,4.62299,4.63744,-74.19933,-74.15969,00:58:00,1,G,F
Volver a casa,21:07:39,4.63744,4.62299,-74.15969,-74.19933,00:40:00,1,F,G
Volver a casa,17:25:00,4.57461,4.58177,-74.12625,-74.13703000000001,01:24:00,1,H,H
Trabajar,04:25:00,4.6229,4.65604,-74.1886,-74.05468,01:01:00,1,G,A
Volver a casa,14:31:00,4.65604,4.6229,-74.05468,-74.1886,02:01:00,1,A,G
Trabajar,06:07:00,4.63502,4.7056,-74.14405,-74.04257,01:01:00,1,F,B
Volver a casa,16:38:00,4.7056,4.63502,-74.04257,-74.14405,01:01:00,1,B,F
Estudiar,06:14:00,4.63502,4.63811,-74.14405,-74.07794,01:06:00,1,F,E
Volver a casa,15:15:00,4.63811,4.63502,-74.07794,-74.14405,01:06:00,1,E,F
Estudiar,07:00:00,4.67479,4.646,-74.15009,-74.09829,01:00:00,1,F,K
Volver a casa,09:36:00,4.646,4.67479,-74.09829,-74.15009,01:20:00,1,K,F
Trabajar,15:00:00,4.6326,4.71098,-74.19645,-74.11426,02:30:00,0,G,C
